country,indicator,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025
Australia,gdp_usd_real,874926744105.928,892700520464.398,927960453450.18,956646310281.468,997006658239.536,1028467016034.95,1056965077770.63,1097018464974.4,1136774249983.46,1158996461663.32,1184610839239.74,1212979128949.21,1260921781880.75,1294392358274.42,1328061960035.21,1356805839935.9,1394194533274.64,1426167740135.16,1467158231105.1,1499347932643.95,1497345824797.34,1527396783519.68,1592357665099.43,1649424913623.6,1672078242948.22,
Australia,industry_value_added_usd_const,206111471765.851,204142667225.389,212942427064.094,225473511541.905,230441145116.452,235211783322.398,240137981910.798,251343930514.162,262668488002.185,264857983464.473,273053747104.97,276837545431.237,293839663569.045,304088408299.725,316745545844.483,321374521499.154,324507391855.273,320969691847.136,333366158736.498,337534875829.614,336586243915.25,334319018497.365,335796101632.082,338342848754.681,340195669620.564,
Australia,manufacturing_value_added_usd_const,79376684306.4451,81208521624.6718,83547736234.05,87069462541.6495,88234963902.942,87424333363.7843,86799056840.8161,88610364442.0598,92708682515.2106,87539886342.2316,87718788161.6549,87414361786.964,88371046598.3722,85699837137.2116,84968392649.2742,83604632878.2601,81837904091.0366,81277736099.0717,83088457136.973,82413909293.2456,81133441516.8482,82637389926.6892,84468054118.2311,84673937851.4036,84516152312.3056,
Belgium,gdp_usd_real,367797580320.048,371841895842.954,378188843981.109,382114274683.528,395760365336.901,404948883847.345,415284559725.448,430554259966.472,432478429044.827,424233482718.834,435731531598.616,444146182962.729,445104666468.521,446464436962.24,454346946885.841,461044767544.531,466547349432.055,473426439010.72,482317238282.145,494099718080.569,470417598101.755,499839663858.827,519614510458.488,528521336864.414,534178915343.837,
Belgium,industry_value_added_usd_const,79218219648.7119,79558719809.5442,79580349942.7118,79857355196.5036,83758853087.3514,85779825207.0453,86502590624.5496,90642319014.3403,88858480935.2261,85063040471.5228,87667428118.5443,89301848826.1458,87253963637.5337,87886719791.2115,89109370544.3639,89796650582.1093,88723118166.3706,89627895672.1886,90089504643.153,93214111944.5608,88204194326.4137,86886151695.651,93295349541.4807,94476334876.8264,94480621032.2467,
Belgium,manufacturing_value_added_usd_const,53025189188.6296,53401190233.1895,53624799608.7842,53517617468.2788,56241770942.6986,57730840737.3794,56391013183.8384,59967645654.4488,57963898396.45,53487748701.1616,55693160934.4243,56036448567.3796,55104725903.3271,56228868448.0595,57133973367.2661,57942868346.1328,56788044278.7154,58219510022.5274,58943776827.8954,60747586216.2121,56593998886.8999,53719790415.7725,62193275182.4608,61289897368.8358,60006251543.92,
Brazil,gdp_usd_real,1186418964121.03,1202908958645.15,1239639324869.85,1253781489768.13,1325998860202.27,1368459094848.72,1422677289673.84,1509031960316.93,1585904997750.07,1583909738906.86,1703150040806.99,1770840429106.43,1804861390164.77,1859094274383.73,1868463286696.58,1802211999456.42,1743173031878.48,1766232928473.27,1797736638146.82,1819683008336.22,1760056385298.89,1843880907790.44,1899505159031.73,1961080569227.7,2028136094548.34,
Brazil,industry_value_added_usd_const,263746564360.505,262052256484.099,272018678710.708,272300543420.302,294669732341.701,300546587562.217,306576919035.434,325605118776.328,338953663369.489,323015083241.192,355972542471.96,370618410318.019,367939490180.215,375909863266.004,370240451608.477,348909035724.836,332976807470.561,331309492776.591,333684919328.575,331449105098.427,321602048006.654,337795714721.197,342933018784.277,348688610829.665,359444108388.096,
Brazil,manufacturing_value_added_usd_const,161965845835.758,163121291197.494,166535427852.829,170964220179.629,186492593656.584,190675077828.671,193027245112.73,204881645513.789,213383310311.147,193615573834.357,211408912702.268,216159660370.346,211017891926.116,217376496201.124,207187988125.683,189609597292.818,180570864419.22,184741224204.532,187314291723.854,186516699449.065,177812870193.141,184529947607.235,183521261797.722,181185213270.319,188201970789.668,
Canada,gdp_usd_real,1163199675162.51,1185010810251.65,1220552310378.31,1242600185731.73,1281025904587.38,1322152656986.39,1357030300367.79,1384848127424.16,1398632992945.77,1357861635362.94,1399830508940.89,1443745913580.69,1469093201732.39,1503261570451.97,1546457292263.22,1556508816217.14,1572673952924.25,1620386284360.03,1664832887873.71,1696605090551.84,1611126165625.03,1706996679677.69,1778503389905.0,1805692180594.62,1833766996134.79,
Canada,industry_value_added_usd_const,317027387442.103,314941058499.81,324303412400.743,327310083631.196,338170477878.871,348253596333.659,352114218723.042,354020439372.323,348830933368.482,314573388103.248,335592813841.583,350837201681.947,359205067375.141,368542123011.182,384321566303.798,380032251381.957,374504304985.194,388477107101.901,401285055799.054,402458626992.328,378918376797.345,401989717933.202,414143128274.877,412747420302.676,412488034232.356,
Canada,manufacturing_value_added_usd_const,173450001659.07,167126307535.616,170193867813.676,168011151647.155,172093342869.688,175548738373.148,172716322052.181,167511852242.966,158559584492.71,136695773048.451,143296601227.781,148268216852.827,150428793083.494,149937128242.721,154393412327.481,155268331357.555,155253825985.116,158273288364.634,163116644665.529,163085342657.475,149167566336.805,158770297250.773,164406119147.83,163183065218.217,158624477536.615,
China,gdp_usd_real,2825096197799.54,3059936242478.58,3342778183071.46,3681006926650.74,4053944733453.66,4518455387849.41,5091154930758.42,5811552614974.09,6373544042638.01,6972829250985.1,7711689202853.29,8441318020902.42,9104482675356.36,9812695262900.89,10544908798424.0,11280814787468.9,12045152668727.3,12875216222853.4,13745158275136.7,14579283528148.4,14920466234565.3,16199162892908.6,16706875253648.5,17611526369126.6,18488114837769.3,
China,industry_value_added_usd_const,1030143941202.17,1117616250143.15,1228201570354.11,1383780767896.21,1538015897522.46,1724552484027.86,1956516788058.22,2250986539174.4,2472460877569.04,2726946453979.34,3072821317097.64,3401265207104.24,3685734798256.42,3980122334815.32,4264922592372.57,4517694479123.13,4790178456332.43,5071279996112.7,5365029164819.5,5609261634226.83,5728934590566.43,6199270439047.43,6341898320398.7,6619182289061.22,6971285866872.69,
China,manufacturing_value_added_usd_const,,,,,,,,,,,,,,,,3202510065357.0,,,,,,,,,,
Denmark,gdp_usd_real,263066798869.213,265566018286.991,266778406880.15,267955142440.516,275394519880.793,281892753289.031,292651155542.909,295540131122.49,294307201413.926,279666951317.258,284093791186.593,287817703286.122,287802068160.374,291810211099.295,295539545106.694,301758922337.637,311032111297.516,320538736986.013,326500781502.599,332088518944.146,326176991232.295,347379325644.417,348921108389.075,351030642724.0,363238912546.89,
Denmark,industry_value_added_usd_const,65846300789.0198,65118946380.9978,64017658421.4631,63358474014.9476,65095203819.7531,64202310341.7477,66611326397.1531,65081403894.1006,64808632415.3174,57593856466.4295,56729836519.9939,58196015963.1517,58598137142.1539,58734583202.5897,58642461215.3681,59037451908.868,62072195006.2529,66317537707.2149,66962311048.1087,68617026746.9622,64422646549.2503,71824427222.345,78419469435.6334,82809419662.6344,92463376578.5993,
Denmark,manufacturing_value_added_usd_const,34987020189.2956,35557568593.2297,34683989483.5047,33707793676.0962,34327358017.6853,33748545879.7719,35556930901.679,35980804736.5882,36039051099.8727,31749941500.9869,32571527570.3053,34605527311.6407,35442570002.915,37389706755.0324,37596516826.8016,37673196189.4847,39506974999.9314,43222500487.1753,44014815411.8438,46595966979.0539,43325190441.0537,49750046543.51,56694875698.194,64307510067.073,75272735233.2492,
Finland,gdp_usd_real,196036503503.623,201212380923.485,204607490634.566,208723783982.573,217083963685.375,223113056548.362,232081249320.459,244411266035.096,246328504349.487,226434937568.653,233609048324.553,239193226293.28,235550695854.071,233242909052.234,232127848351.009,233210733506.25,239208760000.401,247110710501.527,250058685918.643,253433824168.6,247120696232.09,253734502126.393,255670602724.759,253269616816.416,254323653957.12,
Finland,industry_value_added_usd_const,50173959077.6096,50430496699.9262,51809186868.827,53601466316.4809,56281301856.3116,58439017879.9404,63326352259.9471,68431725591.6623,66699201661.5827,55111035419.1818,59755043656.5714,59707193280.6576,55048956274.5246,54649664196.609,53943649258.2602,54347269921.4843,56273957151.9807,59951931984.2661,58801342327.6861,59468710496.1183,58494120015.1019,58099938895.394,55751494453.9328,54659030201.1583,55348286426.0236,
Finland,manufacturing_value_added_usd_const,32782777357.5137,33968847293.9453,35097221519.523,36106878287.4149,37874332704.7798,39320027282.7035,43813554753.1093,48232744218.0707,46973447524.6391,36069155312.4752,38959435422.5511,38969421239.84,34528040947.4215,34799871700.4183,34480332155.1929,34611254623.0469,36279962115.9673,38978298011.3574,37389474854.0751,38890645949.9733,37809980516.6242,37533711377.8688,35127177870.0532,34687810720.0342,35695249396.3832,
France,gdp_usd_real,2025858476151.37,2064338989612.96,2086380974762.6,2106573536968.08,2166995343501.89,2207920477337.34,2267844862926.15,2325232266328.63,2334072135222.36,2268145064848.79,2313515332182.54,2369909039106.43,2374265767668.09,2392826743357.49,2416703156974.4,2442483452642.5,2463489569347.31,2514819204088.14,2556210832760.02,2608036638906.12,2413981867676.36,2580120255051.75,2650215998256.03,2688358302961.22,2720362347819.81,
France,industry_value_added_usd_const,401688734878.284,411822188769.797,413154687903.859,418428608390.463,428655877726.25,435005051134.38,445388075429.352,458597183374.605,447729197197.814,418213259302.472,418770181894.386,425545042880.907,418684895126.865,422633032812.349,421544347224.938,420997232611.289,418179677637.76,423759457794.388,430960965835.434,439589641322.492,402175082670.075,427631583648.318,394398421990.556,420649689033.639,429992214764.851,
France,manufacturing_value_added_usd_const,229662594664.949,232050241896.314,231055854367.109,236476594455.237,242320829862.751,246524890127.515,253116825615.74,258866102315.031,251027620038.79,234457610444.032,239782935839.744,248953575936.263,247037416360.612,247659720788.209,251167037205.845,252062134176.992,253215204205.412,258347306299.278,263158167529.072,268228939748.96,244339243893.714,265433870641.019,255546195400.778,262651683086.535,268747963756.81,
Germany,gdp_usd_real,2885963533943.47,2933181986968.52,2926486831428.63,2910982263391.97,2944810405337.25,2970886268370.04,3085761005285.65,3174912263837.68,3203102383827.36,3025504625850.04,3150598283304.25,3268996785218.57,3284148978797.69,3297186905208.25,3369071713224.27,3425099578746.09,3501212900675.89,3599173571724.7,3640049243667.4,3675639268112.03,3523764998709.97,3661544208117.2,3727790994177.62,3695372350062.48,3677048776153.86,
Germany,industry_value_added_usd_const,783998702448.994,775610477973.061,753339745766.77,749233777601.765,768187489287.072,768506641477.126,806456064467.401,834965914699.857,823136814723.42,709637171180.851,813935671989.23,854562269568.955,855914638945.971,846222333425.789,880834787607.083,886200121616.015,917568008193.374,946239557982.425,957856597652.681,944974567007.132,888996373396.457,930628317730.066,912263774749.264,890502673319.235,855074197358.932,
Germany,manufacturing_value_added_usd_const,539293656161.337,547226445368.754,531496473904.539,537463020655.828,558549302291.015,567634713460.972,616790849099.619,644725096152.46,631435986169.008,505664086863.509,604654371683.771,659166828098.453,647708364225.573,647369352151.557,683371984757.371,689745331150.39,716594754413.469,740325302652.816,749614118946.17,739104871912.434,678015663981.336,739850694233.244,754631438253.253,742630557182.96,710831623390.64,
Italy,gdp_usd_real,1856863206512.55,1894119928193.34,1899232719747.26,1900496731461.62,1928510465814.16,1943213635518.5,1978181374737.88,2007108163772.48,1986572667176.02,1881181927615.29,1909947188308.66,1923230167272.61,1863124632394.25,1829252558793.34,1829227175768.29,1845428048839.1,1868241619489.51,1898202609462.08,1913894038926.83,1922107755078.16,1751650987235.43,1908092024820.83,2000084512919.56,2019599234310.29,2033588532657.24,
Italy,industry_value_added_usd_const,442717260760.101,445250386677.709,447880909036.091,442079682378.9,450992172860.016,452777126328.695,466924470887.039,475066383645.56,461846760647.026,392148558097.217,408969803260.674,410355656397.989,390841890721.624,380497815791.192,371647630386.16,374428646614.687,382988074997.997,394645467271.092,399619335717.633,402414572644.971,358182265527.606,415407073691.28,428926865972.62,437411405496.007,438655153952.402,
Italy,manufacturing_value_added_usd_const,288670443349.061,287890822186.833,286722848149.083,279720834744.939,284009907248.519,284713225062.954,298522321447.83,308086679685.353,297839713105.919,241530054126.319,265333682694.968,270544527788.68,259815211456.007,257276793100.592,256770717932.229,263201310745.0,268526359531.85,278377031253.579,281237351215.886,281671948544.617,243056724270.689,281036589970.114,288483655970.67,286904206830.792,284963045641.695,
Japan,gdp_usd_real,3986755544463.82,4002148544212.9,4003827945767.2,4065291729517.45,4154163710039.3,4229100705435.58,4287138774362.24,4350758602405.54,4297492743392.88,4052826324003.77,4218907820178.57,4219912322040.1,4277925608846.49,4363702302793.37,4376627829634.98,4444930651964.18,4478437728050.46,4553466417290.11,4582763011478.55,4564332550096.38,4374056271824.01,4492005937826.88,4534320578755.85,4601203385713.7,4606002855955.13,
