country,industry_share_2000,industry_share_2025,manufacturing_share_2000,manufacturing_share_2025,industry_cagr,manufacturing_cagr,gdp_cagr
Australia,0.23557569036990936,0.20345678861338967,0.09072380612568738,0.050545572654115835,0.021098823248558052,0.0026175026575263605,0.027354208497516685
Belgium,0.21538537469381458,0.17687074184017915,0.14416948894141296,0.1123336204786285,0.0073681969968864,0.005166704990985815,0.01567144982880908
United States,,0.18587132043518306,,0.1166231343029535,,,0.019381655663808672
Canada,0.2725476925514197,0.22494026509463708,0.14911455476020263,0.08650198082469764,0.011027822708990387,-0.0037159848535748274,0.019147581783580225
Mexico,0.3402733211935235,0.29019503028775406,0.22121813124146314,0.20035833932600877,0.008261733809081573,0.010792035545995171,0.014971930796839228
Brazil,0.22230474422322152,0.17722879118136456,0.13651656854267494,0.09279553344351875,0.012982299232581207,0.0062750316200608225,0.022592160395220162
Germany,0.2716592546052423,0.2325436102192061,0.1868677998936561,0.1933157993444296,0.0036224151610255717,0.011573769823684188,0.010144932864869949
France,0.19828074843677787,0.15806431636192186,0.1133655669280764,0.09879123785557231,0.002841095198468091,0.006569935903748325,0.01235788273506322
Italy,0.2384221191993923,0.21570497025729296,0.15546134057512218,0.14012817296394803,-0.00038399919674525496,-0.0005384464672151257,0.0037952406948482675
Denmark,0.2503025888179683,0.25455250906430166,0.1329967154338235,0.20722651850669319,0.01424591057105462,0.032437524708500254,0.013534641396836466
Finland,0.25594191990208764,0.21762933004790638,0.16722792322659352,0.14035363538147957,0.004097938312373595,0.003552725725680217,0.01090514901256956
Netherlands,0.19943783498422293,0.1754659826792228,0.10388672340118599,0.11123396602268064,0.009375926154915781,0.017669539269117296,0.014776072151016617
United Kingdom,0.22699082578919044,0.16404327915400818,0.09062305040275181,0.09270942553201747,0.0015060444728960398,0.01611423670984169,0.015151013125676904
South Africa,0.2826280061968481,0.19978998403469336,0.14695194691269742,0.11215321031014988,0.006438098879588017,0.009656500366616028,0.021089469050523224
China,0.36464030570164174,0.3770685074192138,,,0.08293059636432742,,0.08141936250126247
Japan,0.3113847283370012,0.3022406154435055,0.19606466101911196,0.21869251790341346,0.004948479363260594,0.011041482974326167,0.006251639630580508
Turkiye,0.2428172995174327,0.2512856712496562,0.1540834727310397,0.16335985733527644,0.05089587532944595,0.051955181075865386,0.049395868324727976
